fruit,quality,test,train,total
banana,bad,102,408,510
banana,good,113,451,564
banana,medium,98,394,492
custard_apple,bad,115,462,577
custard_apple,good,102,410,512
custard_apple,medium,107,426,533
dragonfruit,bad,116,463,579
dragonfruit,good,112,448,560
dragonfruit,medium,106,422,528
guava,bad,104,415,519
guava,good,114,458,572
guava,medium,104,416,520
jackfruit,bad,100,399,499
jackfruit,good,102,407,509
jackfruit,medium,100,400,500
jujube,bad,106,423,529
jujube,good,120,478,598
jujube,medium,111,445,556
lemon,bad,120,480,600
lemon,good,120,480,600
lemon,medium,105,421,526
lychee,bad,109,434,543
lychee,good,105,420,525
lychee,medium,106,423,529
mango,bad,110,440,550
mango,good,110,440,550
mango,medium,100,400,500
papaya,bad,120,480,600
papaya,good,100,400,500
papaya,medium,120,478,598
pineapple,bad,100,400,500
pineapple,good,100,400,500
pineapple,medium,100,400,500
sapodilla,bad,101,407,508
sapodilla,good,87,350,437
sapodilla,medium,100,400,500
star_fruit,bad,110,440,550
star_fruit,good,110,440,550
star_fruit,medium,100,400,500
